cartodb_id,name,description,created_at,updated_at,the_geom,bbox,type,resource,id,dataset_id,scientificname,ee_id
83087,Hirundo_preussi,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-15.730000000000004,3.0899999999999994,29.870000000000005,17.16",raster,rasters/04040405428907908306-15325147201764724952,04040405428907908306-15325147201764724952,iucn_birds,Hirundo preussi,GME/images/04040405428907908306-15325147201764724952
83088,Hirundo_nigricans,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"178.56,-54.78,-176.94,-0.33999999999999997",raster,rasters/04040405428907908306-09691589005533411898,04040405428907908306-09691589005533411898,iucn_birds,Hirundo nigricans,GME/images/04040405428907908306-09691589005533411898
83089,Hirundo_leucosoma,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,4.869999999999999,11.360000000000003,15.270000000000001",raster,rasters/04040405428907908306-15005476820014120564,04040405428907908306-15005476820014120564,iucn_birds,Hirundo leucosoma,GME/images/04040405428907908306-15005476820014120564
83090,Hirundo_domicola,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"75.34,6.3,81.42,13.230000000000002",raster,rasters/04040405428907908306-08894117912265839654,04040405428907908306-08894117912265839654,iucn_birds,Hirundo domicola,GME/images/04040405428907908306-08894117912265839654
83091,Hirundo_atrocaerulea,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"29.089999999999996,-30.82000000000001,36.62,1.8399999999999996",raster,rasters/04040405428907908306-03807734964101338195,04040405428907908306-03807734964101338195,iucn_birds,Hirundo atrocaerulea,GME/images/04040405428907908306-03807734964101338195
84118,Aethopyga_duyvenbodei,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"125.35,2.6399999999999992,125.67999999999999,3.7500000000000004",raster,rasters/04040405428907908306-13910922604674058163,04040405428907908306-13910922604674058163,iucn_birds,Aethopyga duyvenbodei,GME/images/04040405428907908306-13910922604674058163
83092,Hirundo_ariel,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"112.91,-39.25000000000001,153.64,-5.36",raster,rasters/04040405428907908306-00647170877445281163,04040405428907908306-00647170877445281163,iucn_birds,Hirundo ariel,GME/images/04040405428907908306-00647170877445281163
83093,Hirundo_aethiopica,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-5.7,-10.529999999999998,50.06999999999999,18.69",raster,rasters/04040405428907908306-00297821465783931742,04040405428907908306-00297821465783931742,iucn_birds,Hirundo aethiopica,GME/images/04040405428907908306-00297821465783931742
83094,Hirundapus_cochinchinensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"74.68,-7.620000000000002,122.01000000000002,30.160000000000007",raster,rasters/04040405428907908306-03216134422318979524,04040405428907908306-03216134422318979524,iucn_birds,Hirundapus cochinchinensis,GME/images/04040405428907908306-03216134422318979524
83095,Hippolais_rama,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"48.419999999999995,5.909999999999997,86.93,48.24999999999999",raster,rasters/04040405428907908306-10882488334584356327,04040405428907908306-10882488334584356327,iucn_birds,Hippolais rama,GME/images/04040405428907908306-10882488334584356327
83096,Hippolais_polyglotta,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.54,3.4799999999999964,17.340000000000003,51.07000000000001",raster,rasters/04040405428907908306-09160238511285273272,04040405428907908306-09160238511285273272,iucn_birds,Hippolais polyglotta,GME/images/04040405428907908306-09160238511285273272
83097,Himantopus_novaezelandiae,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"168.59999999999997,-45.22,177.42,-35.83",raster,rasters/04040405428907908306-12684521362170716838,04040405428907908306-12684521362170716838,iucn_birds,Himantopus novaezelandiae,GME/images/04040405428907908306-12684521362170716838
83098,Hieraaetus_spilogaster,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-16.83,-29.069999999999997,50.850000000000016,17.46",raster,rasters/04040405428907908306-09189157565858606066,04040405428907908306-09189157565858606066,iucn_birds,Hieraaetus spilogaster,GME/images/04040405428907908306-09189157565858606066
83099,Heterospingus_xanthopygius,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-80.11999999999999,-2.2399999999999998,-73.21000000000001,8.11",raster,rasters/04040405428907908306-07791337361719123801,04040405428907908306-07791337361719123801,iucn_birds,Heterospingus xanthopygius,GME/images/04040405428907908306-07791337361719123801
83100,Heterospingus_rubrifrons,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-83.68,8.41,-77.35000000000001,10.05",raster,rasters/04040405428907908306-02124046525359754040,04040405428907908306-02124046525359754040,iucn_birds,Heterospingus rubrifrons,GME/images/04040405428907908306-02124046525359754040
83101,Heterophasia_melanoleuca,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"96.15,15.120000000000001,102.20000000000002,23.549999999999997",raster,rasters/04040405428907908306-05140318739808908633,04040405428907908306-05140318739808908633,iucn_birds,Heterophasia melanoleuca,GME/images/04040405428907908306-05140318739808908633
83102,Heterophasia_capistrata,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"73.16000000000001,26.729999999999997,94.29000000000002,34.290000000000006",raster,rasters/04040405428907908306-12658332554107357001,04040405428907908306-12658332554107357001,iucn_birds,Heterophasia capistrata,GME/images/04040405428907908306-12658332554107357001
83103,Heterophasia_annectens,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"87.26,10.98,109.18000000000002,29.800000000000004",raster,rasters/04040405428907908306-04414252967362461683,04040405428907908306-04414252967362461683,iucn_birds,Heterophasia annectens,GME/images/04040405428907908306-04414252967362461683
83104,Heteromirafra_sidamoensis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"39.65999999999999,5.199999999999999,39.769999999999996,5.300000000000002",raster,rasters/04040405428907908306-10627539413264437244,04040405428907908306-10627539413264437244,iucn_birds,Heteromirafra sidamoensis,GME/images/04040405428907908306-10627539413264437244
83105,Heterocercus_flavivertex,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-73.12,-3.2899999999999996,-55.45,6.230000000000001",raster,rasters/04040405428907908306-07033808976926242813,04040405428907908306-07033808976926242813,iucn_birds,Heterocercus flavivertex,GME/images/04040405428907908306-07033808976926242813
83106,Herpsilochmus_rufimarginatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-80.06,-27.94,-34.79,11.52",raster,rasters/04040405428907908306-01420925161098204217,04040405428907908306-01420925161098204217,iucn_birds,Herpsilochmus rufimarginatus,GME/images/04040405428907908306-01420925161098204217
83107,Herpsilochmus_roraimae,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-66.33,0.4400000000000004,-59.769999999999996,7.410000000000002",raster,rasters/04040405428907908306-01823335952921769489,04040405428907908306-01823335952921769489,iucn_birds,Herpsilochmus roraimae,GME/images/04040405428907908306-01823335952921769489
83108,Herpsilochmus_pectoralis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-44.8,-13.030000000000003,-34.79,-2.32",raster,rasters/04040405428907908306-06569118612893136903,04040405428907908306-06569118612893136903,iucn_birds,Herpsilochmus pectoralis,GME/images/04040405428907908306-06569118612893136903
83109,Herpsilochmus_parkeri,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-77.73,-6.060000000000001,-76.72,-5.199999999999998",raster,rasters/04040405428907908306-12318313813881802389,04040405428907908306-12318313813881802389,iucn_birds,Herpsilochmus parkeri,GME/images/04040405428907908306-12318313813881802389
83110,Herpsilochmus_longirostris,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-68.84,-24.330000000000005,-43.63,-6.409999999999999",raster,rasters/04040405428907908306-11158457045089664897,04040405428907908306-11158457045089664897,iucn_birds,Herpsilochmus longirostris,GME/images/04040405428907908306-11158457045089664897
83111,Herpsilochmus_dorsimaculatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-73,-3.27,-56.05,7.670000000000002",raster,rasters/04040405428907908306-05854514869561371238,04040405428907908306-05854514869561371238,iucn_birds,Herpsilochmus dorsimaculatus,GME/images/04040405428907908306-05854514869561371238
83112,Herpsilochmus_axillaris,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.98,-13.969999999999999,-69.25,5.59",raster,rasters/04040405428907908306-13695916785891481503,04040405428907908306-13695916785891481503,iucn_birds,Herpsilochmus axillaris,GME/images/04040405428907908306-13695916785891481503
83113,Herpsilochmus_atricapillus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-64.69,-26.269999999999996,-34.78999999999999,-2.7299999999999995",raster,rasters/04040405428907908306-18345576244008395968,04040405428907908306-18345576244008395968,iucn_birds,Herpsilochmus atricapillus,GME/images/04040405428907908306-18345576244008395968
83114,Henicorhina_leucosticta,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-99.11,-10.139999999999997,-49.87,21.94",raster,rasters/04040405428907908306-06800334087388187621,04040405428907908306-06800334087388187621,iucn_birds,Henicorhina leucosticta,GME/images/04040405428907908306-06800334087388187621
83115,Henicorhina_leucophrys,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-105.00000000000003,-18.02,-64.19999999999999,22.369999999999997",raster,rasters/04040405428907908306-00367880617736412685,04040405428907908306-00367880617736412685,iucn_birds,Henicorhina leucophrys,GME/images/04040405428907908306-00367880617736412685
83116,Hemitriccus_zosterops,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.84,-7.5699999999999985,-50.14000000000001,6.009999999999999",raster,rasters/04040405428907908306-12300409072693770849,04040405428907908306-12300409072693770849,iucn_birds,Hemitriccus zosterops,GME/images/04040405428907908306-12300409072693770849
83117,Hemitriccus_striaticollis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-74.66,-18.110000000000003,-38.589999999999996,4.67",raster,rasters/04040405428907908306-17566462194090532062,04040405428907908306-17566462194090532062,iucn_birds,Hemitriccus striaticollis,GME/images/04040405428907908306-17566462194090532062
83118,Hemitriccus_rufigularis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-75.78,-17.31,-64.58,-10.55",raster,rasters/04040405428907908306-10557047569246070465,04040405428907908306-10557047569246070465,iucn_birds,Hemitriccus rufigularis,GME/images/04040405428907908306-10557047569246070465
83119,Hemitriccus_margaritaceiventer,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-76.20999999999998,-32.99,-34.78999999999999,12.47",raster,rasters/04040405428907908306-10789390090812105142,04040405428907908306-10789390090812105142,iucn_birds,Hemitriccus margaritaceiventer,GME/images/04040405428907908306-10789390090812105142
83120,Hemitriccus_josephinae,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-60.16,-2.9300000000000006,-50.410000000000004,7.780000000000001",raster,rasters/04040405428907908306-09532674854061309977,04040405428907908306-09532674854061309977,iucn_birds,Hemitriccus josephinae,GME/images/04040405428907908306-09532674854061309977
83121,Hemitesia_neumanni,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"27.899999999999995,-5.2700000000000005,30.230000000000004,0.19",raster,rasters/04040405428907908306-03230845902335894804,04040405428907908306-03230845902335894804,iucn_birds,Hemitesia neumanni,GME/images/04040405428907908306-03230845902335894804
83122,Hemispingus_xanthophthalmus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.62,-16.59,-67.60000000000001,-5.35",raster,rasters/04040405428907908306-13391589361861130729,04040405428907908306-13391589361861130729,iucn_birds,Hemispingus xanthophthalmus,GME/images/04040405428907908306-13391589361861130729
83123,Hemispingus_trifasciatus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-76.48,-17.660000000000007,-65.01,-9.35",raster,rasters/04040405428907908306-10358584890607541009,04040405428907908306-10358584890607541009,iucn_birds,Hemispingus trifasciatus,GME/images/04040405428907908306-10358584890607541009
83124,Hemispingus_rufosuperciliaris,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.39,-9.8,-75.84,-5.410000000000001",raster,rasters/04040405428907908306-11759172640339730406,04040405428907908306-11759172640339730406,iucn_birds,Hemispingus rufosuperciliaris,GME/images/04040405428907908306-11759172640339730406
