cartodb_id,name,description,created_at,updated_at,the_geom,bbox,type,resource,id,dataset_id,scientificname,ee_id
83531,Cuculus_lepidus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"95.18,-10.95,130.88,6.429999999999999",raster,rasters/04040405428907908306-13197769348035731354,04040405428907908306-13197769348035731354,iucn_birds,Cuculus lepidus,GME/images/04040405428907908306-13197769348035731354
83532,Cuculus_gularis,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-17.539999999999996,-30.96,45.37000000000001,16.480000000000004",raster,rasters/04040405428907908306-02733508360613967734,04040405428907908306-02733508360613967734,iucn_birds,Cuculus gularis,GME/images/04040405428907908306-02733508360613967734
83533,Crypturellus_tataupa,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-79.28,-31.620000000000005,-34.79,-2.3499999999999996",raster,rasters/04040405428907908306-02650803208115202383,04040405428907908306-02650803208115202383,iucn_birds,Crypturellus tataupa,GME/images/04040405428907908306-02650803208115202383
83534,Crypturellus_parvirostris,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-73.06,-28.609999999999996,-34.79,-0.3799999999999999",raster,rasters/04040405428907908306-10081419486415096325,04040405428907908306-10081419486415096325,iucn_birds,Crypturellus parvirostris,GME/images/04040405428907908306-10081419486415096325
88480,Crypturellus_cinereus,IUCN Bird Rasters created using gdal_rasterize,2013-05-24 17:32:46.30762,2013-05-24 18:02:36.483823,,"-78.69,-16.689999999999998,-45.870000000000005,7.940000000000002",raster,rasters/04040405428907908306-13291364293826882887,04040405428907908306-13291364293826882887,iucn_birds,Crypturellus cinereus,GME/images/04040405428907908306-13291364293826882887
